countryn,country,CBRchosenMod,CDRchosenMod,pre_CBR,post_CBR,pre_CDR,post_CDR,CBR_start,CBR_end,CDR_start,CDR_end,CDR_end_year_a,pre_CDR_a,CDR_augmented_indic,CBR_start_GDPPC,CDR_start_GDPPC,CBR_end_GDPPC,CDR_end_GDPPC
63,Georgia,2,2,25.6025249123023,13.2940224542474,14.4659730024543,10.1540379056449,1953,2000,1953,1967,1953,14.4659730024543,0,,,4646,
64,Germany,1,1,37.1944445636264,9.64321073511784,26.7476334937032,11.5354552923831,1880,1975,1880,1932,1880,26.7476334937032,0,4023,4023,24323,6791
65,Ghana,3,2,47.3971952908588,30.5497744044321,20.4456516055851,9.67993030761337,1967,2016,1953,1996,1881,38.5366866182218,1,2103,1887,3878,1888
66,Greece,1,1,27.589947757516,9.58676195170035,19.7424541155726,9.01987657289413,1930,1994,1916,1955,1916,19.7424541155726,0,4344,1870,19474,4836
67,Grenada,1,2,40.9015595848115,19.1089592694784,14.8261030478955,8.26538679245283,1957,2004,1948,1973,1883,32.0410509121745,1,,,,
68,Guam,3,2,33.7894894629504,15.9607916583357,9.9,5.04380597014925,1966,2016,1949,1950,1946,24.9289807903134,1,,,,
69,Guatemala,3,1,47.7493077640911,26.1456720223315,34.2926848456616,5.57548603490553,1971,2016,1917,1997,1917,34.2926848456616,0,4598,,7221,5442
70,Guinea,3,2,46.7769117647059,36.1199640522876,33.6901882969571,9.44822671486829,1990,2016,1951,2014,1941,37.916403092069,1,1138,717,1417,1399
71,Guinea-Bissau,3,2,44.9698731563422,36.8482180621738,27.5352709978478,10.9764914282457,1991,2016,1953,2012,1923,36.1093644837052,1,1373,587,1436,1361
72,Guyana (British Guiana),3,1,34.3298921181677,19.8951787751621,30.571276687155,8.27322222309333,1971,2016,1919,1962,1919,30.571276687155,0,,,,
73,Haiti,3,2,41.153540969163,23.1478399585385,23.5824001499583,9.28075808376448,1983,2016,1953,2004,1922,32.293032296526,1,2546,2458,1728,1605
74,Honduras,3,2,49.3341086572438,22.0935690582271,22.5819680561032,5.21884423428351,1971,2016,1953,1992,1913,40.4735999846069,1,2836,2576,4796,3595
75,"Hong Kong SAR, China",1,1,31.338557193696,9.87263635703392,32.4180634146342,5.83616097560976,1960,1989,1941,1947,1941,32.4180634146342,0,4321,3109.16216216216,23250,3347.05405405405
